Organization, State, Web, Logo
Vermont Department of Environmental Conservation, VT, http://dec.vermont.gov/, logos/vtdec.jpg
Lake Champlain Basin Monitoring Program, VT, http://www.lcbp.org/water-environment/data-monitoring/monitoring-programs/, logos/lakechamplainbasinprogram.jpg
New Hampshire Department of Environmental Services Volunteer Lake Assessment Program, NH, http://des.nh.gov/organization/divisions/water/wmb/vlap/index.htm, logos/NHDESlogo.gif
New Hampshire Department of Environmental Services Beaches/Lakes Program, NH, ?, logos/NHDESlogo.gif
New Hampshire Department of Environmental Services Drinking Water Program, NH, http://des.nh.gov/organization/divisions/water/dwgb/index.htm, logos/NHDESlogo.gif
University of New Hampshire Center for Freshwater Biology, NH, http://cfb.unh.edu/, logos/CFBLogo_200x118.jpg
University of New Hampshire Cooperative Extension, NH, http://extension.unh.edu/, logos/unhceBlueHorizontal500x107.png
Lebanon Public Water Supply, NH, http://dpw.lebnh.net/home/water, logos/NA
Manchester Public Water Supply, NH, http://waterandsewer.townofmanchester.org/, logos/manchester_logo.png
Merideth Public Water Supply, NH, http://www.meredithnh.org/Joomla/index.php/town-departments-26/water-a-sewer, logos/NA
Pennichuck Water Works New Hampshire, NH, http://www.pennichuck.com/, logos/Pennichuck-Water-Works-logo.jpg
Wakefield New Hampshire Lakes Collaborative, NH, ?, logos/NA
Maine Department of Environmental Protection Lakes Program, ME, http://www.maine.gov/dep/water/lakes/, logos/deplogo.png
Dover-Foxcroft Water District, ME, https://www.facebook.com/DFWaterDistrict/, logos/dover_foxcroft_logo.png
Massachusetts Department of Environmental Protection Watershed and Drinking Water Programs, MA, ?, logos/NA
University of Massachusetts Amherst Department of Civil Engineering, MA, https://cee.umass.edu/, logos/NA
Abbington and Rockland Joint Water District, MA, http://www.abingtonma.gov/water-department, logos/abingtonseal2.gif
Abbington and Rockland Joint Water District, MA, http://rockland-ma.gov/town-departments/water-department/, logos/RocklandLogo.png
Charles River Watershed Association, MA, http://www.crwa.org/, logos/CRWA_logo_sidebar.jpg
University of Rhode Island Watershed Watch, RI, http://web.uri.edu/watershedwatch/, logos/NA
New England Interstate Water Pollution Control Commission, MA, http://www.neiwpcc.org/, logos/neiwpcc-logo-200x68.jpg
United States Environmental Protection Agency: Atlantic Ecology Division, RI, https://www.epa.gov/aboutepa/about-atlantic-ecology-division-aed-epas-national-health-and-environmental-effects-research, logos/epa_seal_verysmall_trim.gif
Conncecticut Department of Energy and Environmental Protection: Ambient Monitoring Program, CT, ?, logos/NA
Conncecticut Federation of Lakes, CT, http://www.ctlakes.org/, logos/CTlakes_logo.jpg
United States Environmental Protection Agency: Mid-Continent Ecology Division, MN, https://www.epa.gov/aboutepa/about-mid-continent-ecology-division-med-epas-national-health-and-environmental-effects, logos/epa_seal_verysmall_trim.gif
United States Geological Survey, ?, ?, logos/NA
"Lim-Tex, LLC", ?, http://lim-tex.com/, logos/LIMTEX_LOGO.png
"Eastern Analytical, Inc.", NH, http://easternanalytical.com/, logos/eai_logo_desktop150.png
Penobscot Nation, ME, https://www.penobscotnation.org/, logos/Penobscot-nation-logo-image-copy.gif
White Pond Lake Association, ?, ?, logos/NA
Candlewood Lake Authority, CT, http://www.candlewoodlakeauthority.org/, logos/candlewood_logo.jpg
Lake Attitash Association, MA, http://lakeattitash.org/, logos/NA
Esperanza Academy, MA, http://www.esperanzaacademy.org/, logos/esperanza_logo.png
